dim1,dim2,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5
5,1,0.7772402,0.40146706,0.9243631,0.57079756,3.0,0.9935812
5,2,0.5485414,0.36359537,0.6511474,0.5012546,1.0,0.99769586
5,3,0.6853677,0.24919458,0.81328636,0.36053652,0.0,0.999853
5,4,0.46563408,0.60081583,0.54448503,0.7060696,0.0,0.99999726
5,5,0.6750592,0.44921267,0.78391594,0.5235128,0.0,1.0
5,6,0.514352,0.21770129,0.60286355,0.320033,0.0,0.9999999
5,7,0.8670533,0.4890517,0.97849905,0.62761724,0.0,0.83278626
5,8,0.007931177,0.49654484,0.07949349,0.8629296,0.0,0.99999523
5,9,0.9512724,0.6321901,0.9990876,0.70907694,0.0,0.99999475
5,10,0.39798936,0.85728115,0.5409211,0.98441136,0.0,0.9999999
5,11,0.006288275,0.95755905,0.04389027,1.002486,0.0,0.999729
5,12,0.006228227,0.5582173,0.038303,0.6674315,0.0,0.99999726
5,13,0.50726336,0.36224437,0.64411604,0.5089046,0.0,0.9999598
5,14,0.45805517,0.26425883,0.5602799,0.36874035,0.0,1.0
5,15,0.5708544,0.15928902,0.6499684,0.26257503,0.0,0.9999994
5,16,0.7751465,0.2607955,0.8542383,0.3777855,0.0,0.9998343
5,17,0.8886626,0.86214876,0.99831027,1.0097743,0.0,0.9999863
5,18,0.79915833,0.6433456,1.0044582,0.9870474,0.0,0.9999994
5,19,0.022436075,0.4980709,0.094259895,0.6321781,0.0,0.99998593
6,0,0.674858,0.44200745,0.7694459,0.5552712,3.0,0.99940085
6,1,0.4900275,0.38039613,0.5740523,0.47797415,1.0,0.9994929
6,2,0.58221996,0.40431666,0.6803243,0.51725054,2.0,0.99926287
6,3,0.8986128,0.0123768225,0.9862173,0.08685791,0.0,0.9999964
6,4,0.63393354,0.6028079,0.9018014,0.990793,0.0,0.99998975
6,5,0.774126,0.39122355,0.87041926,0.51862884,0.0,0.9998561
6,6,0.036918696,0.011445906,0.15344708,0.08023773,0.0,0.9998485
6,7,0.6053008,0.5327767,0.70550853,0.5977984,0.0,0.99999094
6,8,0.019453906,0.38462713,0.07583982,0.5963707,0.0,0.99998796
6,9,0.39313552,0.3650788,0.47931385,0.47116852,0.0,0.99999964
6,10,0.5818682,0.44978407,0.64590615,0.51297957,0.0,1.0
6,11,0.6523772,0.43327016,0.69109076,0.49253833,0.0,0.9999995
6,12,0.64141536,0.013034664,0.78316474,0.08035826,0.0,0.99999416
6,13,0.8766274,0.28652823,1.0069871,0.37638143,0.0,1.0
